chapter,paragraph,sentence,text
CHAPTER XIX,12,3,Let me do it without further loss of time.
CHAPTER XIX,12,4,Accept my thanks for the compliment you are paying me.
CHAPTER XIX,12,5,"I am very sensible of the honour of your proposals, but it is impossible for me to do otherwise than decline them.”"
CHAPTER XIX,13,1,"“I am not now to learn,” replied Mr. Collins, with a formal wave of the hand, “that it is usual with young ladies to reject the addresses of the man whom they secretly mean to accept, when he first applies for their favour; and that sometimes the refusal is repeated a second or even a third time."
CHAPTER XIX,13,2,"I am, therefore, by no means discouraged by what you have just said, and shall hope to lead you to the altar ere long.”"
CHAPTER XIX,14,1,"“Upon my word, sir,” cried Elizabeth, “your hope is rather an extraordinary one after my declaration."
CHAPTER XIX,14,2,I do assure you that I am not one of those young ladies (if such young ladies there are) who are so daring as to risk their happiness on the chance of being asked a second time.
CHAPTER XIX,14,3,I am perfectly serious in my refusal.
CHAPTER XIX,14,4,"You could not make _me_ happy, and I am convinced that I am the last woman in the world who would make _you_ so."
CHAPTER XIX,14,5,"Nay, were your friend Lady Catherine to know me, I am persuaded she would find me in every respect ill qualified for the situation.”"
CHAPTER XIX,15,1,"“Were it certain that Lady Catherine would think so,” said Mr. Collins, very gravely--“but I cannot imagine that her Ladyship would at all disapprove of you."
CHAPTER XIX,15,2,"And you may be certain that when I have the honour of seeing her again I shall speak in the highest terms of your modesty, economy, and other amiable qualifications.”"
CHAPTER XIX,16,1,"“Indeed, Mr. Collins, all praise of me will be unnecessary."
CHAPTER XIX,16,2,"You must give me leave to judge for myself, and pay me the compliment of believing what I say."
CHAPTER XIX,16,3,"I wish you very happy and very rich, and by refusing your hand, do all in my power to prevent your being otherwise."
CHAPTER XIX,16,4,"In making me the offer, you must have satisfied the delicacy of your feelings with regard to my family, and may take possession of Longbourn estate whenever it falls, without any self-reproach."
CHAPTER XIX,16,5,"This matter may be considered, therefore, as finally settled.” And rising as she thus spoke, she would have quitted the room, had not Mr. Collins thus addressed her,--"
CHAPTER XIX,17,1,"“When I do myself the honour of speaking to you next on the subject, I shall hope to receive a more favourable answer than you have now given me; though I am far from accusing you of cruelty at present, because I know it to be the established custom of your sex to reject a man on the first application, and, perhaps, you have even now said as much to encourage my suit as would be consistent with the true delicacy of the female character.”"
CHAPTER XIX,18,1,"“Really, Mr. Collins,” cried Elizabeth, with some warmth, “you puzzle me exceedingly."
CHAPTER XIX,18,2,"If what I have hitherto said can appear to you in the form of encouragement, I know not how to express my refusal in such a way as may convince you of its being one.”"
CHAPTER XIX,19,1,"“You must give me leave to flatter myself, my dear cousin, that your refusal of my addresses are merely words of course."
CHAPTER XIX,19,2,"My reasons for believing it are briefly these:--It does not appear to me that my hand is unworthy of your acceptance, or that the establishment I can offer would be any other than highly desirable."
CHAPTER XIX,19,3,"My situation in life, my connections with the family of De Bourgh, and my relationship to your own, are circumstances highly in my favour; and you should take it into further consideration that, in spite of your manifold attractions, it is by no means certain that another offer of marriage may ever be made you."
CHAPTER XIX,19,4,"Your portion is unhappily so small, that it will in all likelihood undo the effects of your loveliness and amiable qualifications."
CHAPTER XIX,19,5,"As I must, therefore, conclude that you are not serious in your rejection of me, I shall choose to attribute it to your wish of increasing my love by suspense, according to the usual practice of elegant females.”"
CHAPTER XIX,20,1,"“I do assure you, sir, that I have no pretensions whatever to that kind of elegance which consists in tormenting a respectable man."
CHAPTER XIX,20,2,I would rather be paid the compliment of being believed sincere.
CHAPTER XIX,20,3,"I thank you again and again for the honour you have done me in your proposals, but to accept them is absolutely impossible."
CHAPTER XIX,20,4,My feelings in every respect forbid it.
CHAPTER XIX,20,5,Can I speak plainer?
CHAPTER XIX,20,6,"Do not consider me now as an elegant female intending to plague you, but as a rational creature speaking the truth from her heart.”"
CHAPTER XIX,21,1,"“You are uniformly charming!” cried he, with an air of awkward gallantry; “and I am persuaded that, when sanctioned by the express authority of both your excellent parents, my proposals will not fail of being acceptable.”"
CHAPTER XIX,22,1,"To such perseverance in wilful self-deception Elizabeth would make no reply, and immediately and in silence withdrew; determined, that if he persisted in considering her repeated refusals as flattering encouragement, to apply to her father, whose negative might be uttered in such a manner as must be decisive, and whose behaviour at least could not be mistaken for the affectation and coquetry of an elegant female."
CHAPTER XX,1,1,"Mr. Collins was not left long to the silent contemplation of his successful love; for Mrs. Bennet, having dawdled about in the vestibule to watch for the end of the conference, no sooner saw Elizabeth open the door and with quick step pass her towards the staircase, than she entered the breakfast-room, and congratulated both him and herself in warm terms on the happy prospect of their nearer connection."
CHAPTER XX,1,2,"Mr. Collins received and returned these felicitations with equal pleasure, and then proceeded to relate the particulars of their interview, with the result of which he trusted he had every reason to be satisfied, since the refusal which his cousin had steadfastly given him would naturally flow from her bashful modesty and the genuine delicacy of her character."
CHAPTER XX,2,1,"This information, however, startled Mrs. Bennet: she would have been glad to be equally satisfied that her daughter had meant to encourage him by protesting against his proposals, but she dared not believe it, and could not help saying so."
CHAPTER XX,3,1,"“But depend upon it, Mr. Collins,” she added, “that Lizzy shall be brought to reason."
CHAPTER XX,3,2,I will speak to her about it myself directly.
CHAPTER XX,3,3,"She is a very headstrong, foolish girl, and does not know her own interest; but I will _make_ her know it.”"
CHAPTER XX,4,1,"“Pardon me for interrupting you, madam,” cried Mr. Collins; “but if she is really headstrong and foolish, I know not whether she would altogether be a very desirable wife to a man in my situation, who naturally looks for happiness in the marriage state."
CHAPTER XX,4,2,"If, therefore, she actually persists in rejecting my suit, perhaps it were better not to force her into accepting me, because, if liable to such defects of temper, she could not contribute much to my felicity.”"
CHAPTER XX,5,1,"“Sir, you quite misunderstand me,” said Mrs. Bennet, alarmed."
CHAPTER XX,5,2,“Lizzy is only headstrong in such matters as these.
CHAPTER XX,5,3,In everything else she is as good-natured a girl as ever lived.
CHAPTER XX,5,4,"I will go directly to Mr. Bennet, and we shall very soon settle it with her, I am sure.”"
CHAPTER XX,6,1,"She would not give him time to reply, but hurrying instantly to her husband, called out, as she entered the library,--"
CHAPTER XX,7,1,"“Oh, Mr. Bennet, you are wanted immediately; we are all in an uproar."
CHAPTER XX,7,2,"You must come and make Lizzy marry Mr. Collins, for she vows she will not have him; and if you do not make haste he will change his mind and not have _her_.”"
CHAPTER XX,8,1,"Mr. Bennet raised his eyes from his book as she entered, and fixed them on her face with a calm unconcern, which was not in the least altered by her communication."
CHAPTER XX,9,1,"“I have not the pleasure of understanding you,” said he, when she had finished her speech."
CHAPTER XX,9,2,“Of what are you talking?”
CHAPTER XX,10,1,“Of Mr. Collins and Lizzy.
CHAPTER XX,10,2,"Lizzy declares she will not have Mr. Collins, and Mr. Collins begins to say that he will not have Lizzy.”"
CHAPTER XX,11,1,“And what am I to do on the occasion?
CHAPTER XX,11,2,It seems a hopeless business.”
CHAPTER XX,12,1,“Speak to Lizzy about it yourself.
CHAPTER XX,12,2,Tell her that you insist upon her marrying him.”
CHAPTER XX,13,1,“Let her be called down.
CHAPTER XX,13,2,She shall hear my opinion.”
CHAPTER XX,14,1,"Mrs. Bennet rang the bell, and Miss Elizabeth was summoned to the library."
CHAPTER XX,15,1,"“Come here, child,” cried her father as she appeared."
CHAPTER XX,15,2,“I have sent for you on an affair of importance.
CHAPTER XX,15,3,I understand that Mr. Collins has made you an offer of marriage.
CHAPTER XX,15,4,Is it true?”
CHAPTER XX,16,1,Elizabeth replied that it was.
CHAPTER XX,17,1,“Very well--and this offer of marriage you have refused?”
CHAPTER XX,18,1,“Very well.
CHAPTER XX,18,2,We now come to the point.
CHAPTER XX,18,3,Your mother insists upon your accepting it.
CHAPTER XX,18,4,"Is it not so, Mrs. Bennet?”"
CHAPTER XX,19,1,"“Yes, or I will never see her again.”"
CHAPTER XX,20,1,"“An unhappy alternative is before you, Elizabeth."
CHAPTER XX,20,2,From this day you must be a stranger to one of your parents.
CHAPTER XX,20,3,"Your mother will never see you again if you do _not_ marry Mr. Collins, and I will never see you again if you _do_.”"
CHAPTER XX,21,1,"Elizabeth could not but smile at such a conclusion of such a beginning; but Mrs. Bennet, who had persuaded herself that her husband regarded the affair as she wished, was excessively disappointed."
CHAPTER XX,22,1,"“What do you mean, Mr. Bennet, by talking in this way?"
CHAPTER XX,22,2,You promised me to _insist_ upon her marrying him.”
CHAPTER XX,23,1,"“My dear,” replied her husband, “I have two small favours to request."
CHAPTER XX,23,2,"First, that you will allow me the free use of my understanding on the present occasion; and, secondly, of my room."
CHAPTER XX,23,3,I shall be glad to have the library to myself as soon as may be.”
CHAPTER XX,24,1,"Not yet, however, in spite of her disappointment in her husband, did Mrs. Bennet give up the point."
CHAPTER XX,24,2,She talked to Elizabeth again and again; coaxed and threatened her by turns.
CHAPTER XX,24,3,"She endeavoured to secure Jane in her interest, but Jane, with all possible mildness, declined interfering; and Elizabeth, sometimes with real earnestness, and sometimes with playful gaiety, replied to her attacks."
CHAPTER XX,24,4,"Though her manner varied, however, her determination never did."
CHAPTER XX,25,1,"Mr. Collins, meanwhile, was meditating in solitude on what had passed."
CHAPTER XX,25,2,"He thought too well of himself to comprehend on what motive his cousin could refuse him; and though his pride was hurt, he suffered in no other way."
CHAPTER XX,25,3,His regard for her was quite imaginary; and the possibility of her deserving her mother’s reproach prevented his feeling any regret.
CHAPTER XX,26,1,"While the family were in this confusion, Charlotte Lucas came to spend the day with them."
CHAPTER XX,26,2,"She was met in the vestibule by Lydia, who, flying to her, cried in a half whisper, “I am glad you are come, for there is such fun here!"
CHAPTER XX,26,3,What do you think has happened this morning?
CHAPTER XX,26,4,"Mr. Collins has made an offer to Lizzy, and she will not have him.”"
CHAPTER XX,27,1,"Charlotte had hardly time to answer before they were joined by Kitty, who came to tell the same news; and no sooner had they entered the breakfast-room, where Mrs. Bennet was alone, than she likewise began on the subject, calling on Miss Lucas for her compassion, and entreating her to persuade her friend Lizzy to comply with the wishes of her family."
CHAPTER XX,27,2,"“Pray do, my dear Miss Lucas,” she added, in a melancholy tone; “for nobody is on my side, nobody takes part with me; I am cruelly used, nobody feels for my poor nerves.”"
CHAPTER XX,28,1,Charlotte’s reply was spared by the entrance of Jane and Elizabeth.
CHAPTER XX,29,1,"“Ay, there she comes,” continued Mrs. Bennet, “looking as unconcerned as may be, and caring no more for us than if we were at York, provided she can have her own way."
CHAPTER XX,29,2,"But I tell you what, Miss Lizzy, if you take it into your head to go on refusing every offer of marriage in this way, you will never get a husband at all--and I am sure I do not know who is to maintain you when your father is dead."
CHAPTER XX,29,3,_I_ shall not be able to keep you--and so I warn you.
CHAPTER XX,29,4,I have done with you from this very day.
CHAPTER XX,29,5,"I told you in the library, you know, that I should never speak to you again, and you will find me as good as my word."
CHAPTER XX,29,6,I have no pleasure in talking to undutiful children.
CHAPTER XX,29,7,"Not that I have much pleasure, indeed, in talking to anybody."
CHAPTER XX,29,8,People who suffer as I do from nervous complaints can have no great inclination for talking.
CHAPTER XX,29,9,Nobody can tell what I suffer!
CHAPTER XX,29,10,But it is always so.
CHAPTER XX,29,11,Those who do not complain are never pitied.”
CHAPTER XX,30,1,"Her daughters listened in silence to this effusion, sensible that any attempt to reason with or soothe her would only increase the irritation."
CHAPTER XX,30,2,"She talked on, therefore, without interruption from any of them till they were joined by Mr. Collins, who entered with an air more stately than usual, and on perceiving whom, she said to the girls,--"
CHAPTER XX,31,1,"“Now, I do insist upon it, that you, all of you, hold your tongues, and let Mr. Collins and me have a little conversation together.”"
CHAPTER XX,32,1,"Elizabeth passed quietly out of the room, Jane and Kitty followed, but Lydia stood her ground, determined to hear all she could; and Charlotte, detained first by the civility of Mr. Collins, whose inquiries after herself and all her family were very minute, and then by a little curiosity, satisfied herself with walking to the window and pretending not to hear."
CHAPTER XX,32,2,In a doleful voice Mrs. Bennet thus began the projected conversation:--
CHAPTER XX,33,1,"“My dear madam,” replied he, “let us be for ever silent on this point."
CHAPTER XX,33,2,"Far be it from me,” he presently continued, in a voice that marked his displeasure, “to resent the behaviour of your daughter."
CHAPTER XX,33,3,"Resignation to inevitable evils is the duty of us all: the peculiar duty of a young man who has been so fortunate as I have been, in early preferment; and, I trust, I am resigned."
CHAPTER XX,33,4,"Perhaps not the less so from feeling a doubt of my positive happiness had my fair cousin honoured me with her hand; for I have often observed, that resignation is never so perfect as when the blessing denied begins to lose somewhat of its value in our estimation."
CHAPTER XX,33,5,"You will not, I hope, consider me as showing any disrespect to your family, my dear madam, by thus withdrawing my pretensions to your daughter’s favour, without having paid yourself and Mr. Bennet the compliment of requesting you to interpose your authority in my behalf."
CHAPTER XX,33,6,"My conduct may, I fear, be objectionable in having accepted my dismission from your daughter’s lips instead of your own; but we are all liable to error."
CHAPTER XX,33,7,I have certainly meant well through the whole affair.
CHAPTER XX,33,8,"My object has been to secure an amiable companion for myself, with due consideration for the advantage of all your family; and if my _manner_ has been at all reprehensible, I here beg leave to apologize.”"
CHAPTER XXI,1,1,"The discussion of Mr. Collins’s offer was now nearly at an end, and Elizabeth had only to suffer from the uncomfortable feelings necessarily attending it, and occasionally from some peevish allusion of her mother."
CHAPTER XXI,1,2,"As for the gentleman himself, _his_ feelings were chiefly expressed, not by embarrassment or dejection, or by trying to avoid her, but by stiffness of manner and resentful silence."
CHAPTER XXI,1,3,"He scarcely ever spoke to her; and the assiduous attentions which he had been so sensible of himself were transferred for the rest of the day to Miss Lucas, whose civility in listening to him was a seasonable relief to them all, and especially to her friend."
CHAPTER XXI,2,1,The morrow produced no abatement of Mrs. Bennet’s ill humour or ill health.
CHAPTER XXI,2,2,Mr. Collins was also in the same state of angry pride.
CHAPTER XXI,2,3,"Elizabeth had hoped that his resentment might shorten his visit, but his plan did not appear in the least affected by it."
CHAPTER XXI,2,4,"He was always to have gone on Saturday, and to Saturday he still meant to stay."
CHAPTER XXI,3,1,"After breakfast, the girls walked to Meryton, to inquire if Mr. Wickham were returned, and to lament over his absence from the Netherfield ball."
CHAPTER XXI,3,2,"He joined them on their entering the town, and attended them to their aunt’s, where his regret and vexation and the concern of everybody were well talked over."
CHAPTER XXI,3,3,"To Elizabeth, however, he voluntarily acknowledged that the necessity of his absence _had_ been self-imposed."
CHAPTER XXI,4,1,"“I found,” said he, “as the time drew near, that I had better not meet Mr. Darcy;--that to be in the same room, the same party with him for so many hours together, might be more than I could bear, and that scenes might arise unpleasant to more than myself.”"
CHAPTER XXI,5,1,"She highly approved his forbearance; and they had leisure for a full discussion of it, and for all the commendations which they civilly bestowed on each other, as Wickham and another officer walked back with them to Longbourn, and during the walk he particularly attended to her."
CHAPTER XXI,5,2,His accompanying them was a double advantage: she felt all the compliment it offered to herself; and it was most acceptable as an occasion of introducing him to her father and mother.
CHAPTER XXI,6,1,"Soon after their return, a letter was delivered to Miss Bennet; it came from Netherfield, and was opened immediately."
CHAPTER XXI,6,2,"The envelope contained a sheet of elegant, little, hot-pressed paper, well covered with a lady’s fair, flowing hand; and Elizabeth saw her sister’s countenance change as she read it, and saw her dwelling intently on some particular passages."
CHAPTER XXI,6,3,"Jane recollected herself soon; and putting the letter away, tried to join, with her usual cheerfulness, in the general conversation: but Elizabeth felt an anxiety on the subject which drew off her attention even from Wickham; and no sooner had he and his companion taken leave, than a glance from Jane invited her to follow her upstairs."
CHAPTER XXI,6,4,"When they had gained their own room, Jane, taking out her letter, said, “This is from Caroline Bingley: what it contains has surprised me a good deal."
CHAPTER XXI,6,5,"The whole party have left Netherfield by this time, and are on their way to town; and without any intention of coming back again."
CHAPTER XXI,6,6,You shall hear what she says.”
CHAPTER XXI,7,1,"She then read the first sentence aloud, which comprised the information of their having just resolved to follow their brother to town directly, and of their meaning to dine that day in Grosvenor Street, where Mr. Hurst had a house."
CHAPTER XXI,7,2,"The next was in these words:--“‘I do not pretend to regret anything I shall leave in Hertfordshire except your society, my dearest friend; but we will hope, at some future period, to enjoy many returns of that delightful intercourse we have known, and in the meanwhile may lessen the pain of separation by a very frequent and most unreserved correspondence."
CHAPTER XXI,7,3,"I depend on you for that.’” To these high-flown expressions Elizabeth listened with all the insensibility of distrust; and though the suddenness of their removal surprised her, she saw nothing in it really to lament: it was not to be supposed that their absence from Netherfield would prevent Mr. Bingley’s being there; and as to the loss of their society, she was persuaded that Jane must soon cease to regard it in the enjoyment of his."
CHAPTER XXI,8,1,"“It is unlucky,” said she, after a short pause, “that you should not be able to see your friends before they leave the country."
CHAPTER XXI,8,2,"But may we not hope that the period of future happiness, to which Miss Bingley looks forward, may arrive earlier than she is aware, and that the delightful intercourse you have known as friends will be renewed with yet greater satisfaction as sisters?"
CHAPTER XXI,8,3,Mr. Bingley will not be detained in London by them.”
CHAPTER XXI,9,1,“Caroline decidedly says that none of the party will return into Hertfordshire this winter.
CHAPTER XXI,9,2,I will read it to you.
CHAPTER XXI,10,1,"“‘When my brother left us yesterday, he imagined that the business which took him to London might be concluded in three or four days; but as we are certain it cannot be so, and at the same time convinced that when Charles gets to town he will be in no hurry to leave it again, we have determined on following him thither, that he may not be obliged to spend his vacant hours in a comfortless hotel."
CHAPTER XXI,10,2,"Many of my acquaintance are already there for the winter: I wish I could hear that you, my dearest friend, had any intention of making one in the crowd, but of that I despair."
CHAPTER XXI,10,3,"I sincerely hope your Christmas in Hertfordshire may abound in the gaieties which that season generally brings, and that your beaux will be so numerous as to prevent your feeling the loss of the three of whom we shall deprive you.’"
CHAPTER XXI,11,1,"“It is evident by this,” added Jane, “that he comes back no more this winter.”"
CHAPTER XXI,12,1,“It is only evident that Miss Bingley does not mean he _should_.”
CHAPTER XXI,13,1,“Why will you think so?
CHAPTER XXI,13,2,It must be his own doing; he is his own master.
CHAPTER XXI,13,3,But you do not know _all_.
CHAPTER XXI,13,4,I _will_ read you the passage which particularly hurts me.
CHAPTER XXI,13,5,I will have no reserves from _you_.
CHAPTER XXI,13,6,‘Mr.
CHAPTER XXI,13,7,"Darcy is impatient to see his sister; and to confess the truth, _we_ are scarcely less eager to meet her again."
CHAPTER XXI,13,8,"I really do not think Georgiana Darcy has her equal for beauty, elegance, and accomplishments; and the affection she inspires in Louisa and myself is heightened into something still more interesting from the hope we dare to entertain of her being hereafter our sister."
CHAPTER XXI,13,9,"I do not know whether I ever before mentioned to you my feelings on this subject, but I will not leave the country without confiding them, and I trust you will not esteem them unreasonable."
CHAPTER XXI,13,10,"My brother admires her greatly already; he will have frequent opportunity now of seeing her on the most intimate footing; her relations all wish the connection as much as his own; and a sister’s partiality is not misleading me, I think, when I call Charles most capable of engaging any woman’s heart."
CHAPTER XXI,13,11,"With all these circumstances to favour an attachment, and nothing to prevent it, am I wrong, my dearest Jane, in indulging the hope of an event which will secure the happiness of so many?’ What think you of _this_ sentence, my dear Lizzy?” said Jane, as she finished it."
CHAPTER XXI,13,12,“Is it not clear enough?
CHAPTER XXI,13,13,Does it not expressly declare that Caroline neither expects nor wishes me to be her sister; that she is perfectly convinced of her brother’s indifference; and that if she suspects the nature of my feelings for him she means (most kindly!)
CHAPTER XXI,13,14,to put me on my guard.
CHAPTER XXI,13,15,Can there be any other opinion on the subject?”
CHAPTER XXI,14,1,"“Yes, there can; for mine is totally different."
CHAPTER XXI,14,2,Will you hear it?”
CHAPTER XXI,15,1,“You shall have it in a few words.
CHAPTER XXI,15,2,Miss Bingley sees that her brother is in love with you and wants him to marry Miss Darcy.
CHAPTER XXI,15,3,"She follows him to town in the hope of keeping him there, and tries to persuade you that he does not care about you.”"
CHAPTER XXI,16,1,"“Indeed, Jane, you ought to believe me."
CHAPTER XXI,16,2,"No one who has ever seen you together can doubt his affection; Miss Bingley, I am sure, cannot: she is not such a simpleton."
CHAPTER XXI,16,3,"Could she have seen half as much love in Mr. Darcy for herself, she would have ordered her wedding clothes."
CHAPTER XXI,16,4,"But the case is this:--we are not rich enough or grand enough for them; and she is the more anxious to get Miss Darcy for her brother, from the notion that when there has been _one_ inter-marriage, she may have less trouble in achieving a second; in which there is certainly some ingenuity, and I dare say it would succeed if Miss de Bourgh were out of the way."
CHAPTER XXI,16,5,"But, my dearest Jane, you cannot seriously imagine that, because Miss Bingley tells you her brother greatly admires Miss Darcy, he is in the smallest degree less sensible of _your_ merit than when he took leave of you on Tuesday; or that it will be in her power to persuade him that, instead of being in love with you, he is very much in love with her friend.”"
CHAPTER XXI,17,1,"“If we thought alike of Miss Bingley,” replied Jane, “your representation of all this might make me quite easy."
CHAPTER XXI,17,2,But I know the foundation is unjust.
CHAPTER XXI,17,3,"Caroline is incapable of wilfully deceiving anyone; and all that I can hope in this case is, that she is deceived herself.”"
CHAPTER XXI,18,1,“That is right.
CHAPTER XXI,18,2,"You could not have started a more happy idea, since you will not take comfort in mine: believe her to be deceived, by all means."
CHAPTER XXI,18,3,"You have now done your duty by her, and must fret no longer.”"
CHAPTER XXI,19,1,"“But, my dear sister, can I be happy, even supposing the best, in accepting a man whose sisters and friends are all wishing him to marry elsewhere?”"
CHAPTER XXI,20,1,"“You must decide for yourself,” said Elizabeth; “and if, upon mature deliberation, you find that the misery of disobliging his two sisters is more than equivalent to the happiness of being his wife, I advise you, by all means, to refuse him.”"
CHAPTER XXI,21,1,"“How can you talk so?” said Jane, faintly smiling; “you must know, that, though I should be exceedingly grieved at their disapprobation, I could not hesitate.”"
CHAPTER XXI,22,1,"“I did not think you would; and that being the case, I cannot consider your situation with much compassion.”"
CHAPTER XXI,23,1,"“But if he returns no more this winter, my choice will never be required."
CHAPTER XXI,23,2,A thousand things may arise in six months.”
CHAPTER XXI,24,1,The idea of his returning no more Elizabeth treated with the utmost contempt.
CHAPTER XXI,24,2,"It appeared to her merely the suggestion of Caroline’s interested wishes; and she could not for a moment suppose that those wishes, however openly or artfully spoken, could influence a young man so totally independent of everyone."
CHAPTER XXI,25,1,"She represented to her sister, as forcibly as possible, what she felt on the subject, and had soon the pleasure of seeing its happy effect."
CHAPTER XXI,25,2,"Jane’s temper was not desponding; and she was gradually led to hope, though the diffidence of affection sometimes overcame the hope, that Bingley would return to Netherfield, and answer every wish of her heart."
CHAPTER XXI,26,1,"They agreed that Mrs. Bennet should only hear of the departure of the family, without being alarmed on the score of the gentleman’s conduct; but even this partial communication gave her a great deal of concern, and she bewailed it as exceedingly unlucky that the ladies should happen to go away just as they were all getting so intimate together."
CHAPTER XXI,26,2,"After lamenting it, however, at some length, she had the consolation of thinking that Mr. Bingley would be soon down again, and soon dining at Longbourn; and the conclusion of all was the comfortable declaration, that, though he had been invited only to a family dinner, she would take care to have two full courses."
CHAPTER XXII,1,1,"The Bennets were engaged to dine with the Lucases; and again, during the chief of the day, was Miss Lucas so kind as to listen to Mr. Collins."
CHAPTER XXII,1,2,Elizabeth took an opportunity of thanking her.
CHAPTER XXII,1,3,"“It keeps him in good humour,” said she, “and I am more obliged to you than I can express.”"
CHAPTER XXII,2,1,"Charlotte assured her friend of her satisfaction in being useful, and that it amply repaid her for the little sacrifice of her time."
CHAPTER XXII,2,2,"This was very amiable; but Charlotte’s kindness extended farther than Elizabeth had any conception of:--its object was nothing less than to secure her from any return of Mr. Collins’s addresses, by engaging them towards herself."
CHAPTER XXII,2,3,"Such was Miss Lucas’s scheme; and appearances were so favourable, that when they parted at night, she would have felt almost sure of success if he had not been to leave Hertfordshire so very soon."
CHAPTER XXII,2,4,"But here she did injustice to the fire and independence of his character; for it led him to escape out of Longbourn House the next morning with admirable slyness, and hasten to Lucas Lodge to throw himself at her feet."
CHAPTER XXII,2,5,"He was anxious to avoid the notice of his cousins, from a conviction that, if they saw him depart, they could not fail to conjecture his design, and he was not willing to have the attempt known till its success could be known likewise; for, though feeling almost secure, and with reason, for Charlotte had been tolerably encouraging, he was comparatively diffident since the adventure of Wednesday."
CHAPTER XXII,2,6,"His reception, however, was of the most flattering kind."
CHAPTER XXII,2,7,"Miss Lucas perceived him from an upper window as he walked towards the house, and instantly set out to meet him accidentally in the lane."
CHAPTER XXII,2,8,But little had she dared to hope that so much love and eloquence awaited her there.
CHAPTER XXII,3,1,"In as short a time as Mr. Collins’s long speeches would allow, everything was settled between them to the satisfaction of both; and as they entered the house, he earnestly entreated her to name the day that was to make him the happiest of men; and though such a solicitation must be waived for the present, the lady felt no inclination to trifle with his happiness."
CHAPTER XXII,3,2,"The stupidity with which he was favoured by nature must guard his courtship from any charm that could make a woman wish for its continuance; and Miss Lucas, who accepted him solely from the pure and disinterested desire of an establishment, cared not how soon that establishment were gained."
CHAPTER XXII,4,1,Sir William and Lady Lucas were speedily applied to for their consent; and it was bestowed with a most joyful alacrity.
CHAPTER XXII,4,2,"Mr. Collins’s present circumstances made it a most eligible match for their daughter, to whom they could give little fortune; and his prospects of future wealth were exceedingly fair."
CHAPTER XXII,4,3,"Lady Lucas began directly to calculate, with more interest than the matter had ever"
CHAPTER XXII,5,1,"excited before, how many years longer Mr. Bennet was likely to live; and Sir William gave it as his decided opinion, that whenever Mr. Collins should be in possession of the Longbourn estate, it would be highly expedient that both he and his wife should make their appearance at St. James’s."
CHAPTER XXII,5,2,The whole family in short were properly overjoyed on the occasion.
CHAPTER XXII,5,3,The younger girls formed hopes of _coming out_ a year or two sooner than they might otherwise have done; and the boys were relieved from their apprehension of Charlotte’s dying an old maid.
CHAPTER XXII,5,4,Charlotte herself was tolerably composed.
CHAPTER XXII,5,5,"She had gained her point, and had time to consider of it."
CHAPTER XXII,5,6,Her reflections were in general satisfactory.
CHAPTER XXII,5,7,"Mr. Collins, to be sure, was neither sensible nor agreeable: his society was irksome, and his attachment to her must be imaginary."
CHAPTER XXII,5,8,But still he would be her husband.
CHAPTER XXII,5,9,"Without thinking highly either of men or of matrimony, marriage had always been her object: it was the only honourable provision for well-educated young women of small fortune, and, however uncertain of giving happiness, must be their pleasantest preservative from want."
CHAPTER XXII,5,10,"This preservative she had now obtained; and at the age of twenty-seven, without having ever been handsome, she felt all the good luck of it."
CHAPTER XXII,5,11,"The least agreeable circumstance in the business was the surprise it must occasion to Elizabeth Bennet, whose friendship she valued beyond that of any other person."
CHAPTER XXII,5,12,"Elizabeth would wonder, and probably would blame her; and though her resolution was not to be shaken, her feelings must be hurt by such a disapprobation."
CHAPTER XXII,5,13,"She resolved to give her the information herself; and therefore charged Mr. Collins, when he returned to Longbourn to dinner, to drop no hint of what had passed before any of the family."
CHAPTER XXII,5,14,"A promise of secrecy was of course very dutifully given, but it could not be kept without difficulty; for the curiosity excited by his long absence burst forth in such very direct questions on his return, as required some ingenuity to evade, and he was at the same time exercising great self-denial, for he was longing to publish his prosperous love."
CHAPTER XXII,6,1,"As he was to begin his journey too early on the morrow to see any of the family, the ceremony of leave-taking was performed when the ladies moved for the night; and Mrs. Bennet, with great politeness and cordiality, said how happy they should be to see him at Longbourn again, whenever his other engagements might allow him to visit them."
CHAPTER XXII,7,1,"“My dear madam,” he replied, “this invitation is particularly gratifying, because it is what I have been hoping to receive; and you may be very certain that I shall avail myself of it as soon as possible.”"
CHAPTER XXII,8,1,"They were all astonished; and Mr. Bennet, who could by no means wish for so speedy a return, immediately said,--"
CHAPTER XXII,9,1,"“But is there not danger of Lady Catherine’s disapprobation here, my good sir?"
CHAPTER XXII,9,2,You had better neglect your relations than run the risk of offending your patroness.”
CHAPTER XXII,10,1,"“My dear sir,” replied Mr. Collins, “I am particularly obliged to you for this friendly caution, and you may depend upon my not taking so material a step without her Ladyship’s concurrence.”"
CHAPTER XXII,11,1,“You cannot be too much on your guard.
CHAPTER XXII,11,2,"Risk anything rather than her displeasure; and if you find it likely to be raised by your coming to us again, which I should think exceedingly probable, stay quietly at home, and be satisfied that _we_ shall take no offence.”"
CHAPTER XXII,12,1,"“Believe me, my dear sir, my gratitude is warmly excited by such affectionate attention; and, depend upon it, you will speedily receive from me a letter of thanks for this as well as for every other mark of your regard during my stay in Hertfordshire."
CHAPTER XXII,12,2,"As for my fair cousins, though my absence may not be long enough to render it necessary, I shall now take the liberty of wishing them health and happiness, not excepting my cousin Elizabeth.”"
